Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0301,ZITLAS Microwave Moong Cheela Mug,Breakfast,Breakfast,Vegan,Weight Loss; Muscle Gain,208,12.2,31.3,3.6,8.3,10,3,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0302,ZITLAS Microwave Egg Omelette Mug,Breakfast,Breakfast,Eggetarian,Muscle Gain; General Fitness,167,13.4,3.7,11.1,0.6,5,2,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0303,ZITLAS Microwave Oats Upma Mug,Breakfast,Breakfast,Vegan,Weight Loss,195,5.7,28.3,6.8,4.6,5,4,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0304,ZITLAS Kettle Poha,Breakfast,Breakfast,Vegan,Weight Loss,260,7.3,40.9,7.9,2.4,5,0,Easy,Budget,Electric kettle,Yes,No,Maharashtrian-inspired,Yes
ZITLAS-REC-0305,ZITLAS No-Cook Peanut Butter Banana Oats Jar,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,401,14.3,54.0,16.3,7.3,5,0,Easy,Moderate,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0306,ZITLAS Rice Cooker Vegetable Khichdi,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,221,9.2,32.7,6.0,6.7,8,25,Easy,Budget,Rice cooker,Yes,No,,Yes
ZITLAS-REC-0307,ZITLAS Rice Cooker Moong Dal Rice,Breakfast,Breakfast,Vegan,General Fitness,209,8.5,30.2,5.9,5.7,5,25,Easy,Budget,Rice cooker,Yes,No,,Yes
ZITLAS-REC-0308,ZITLAS Microwave Besan Chilla Mug,Breakfast,Breakfast,Vegan,Weight Loss,177,9.0,24.6,5.4,4.6,5,3,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0309,ZITLAS No-Cook Muesli Bowl with Milk,Breakfast,Breakfast,Vegetarian,General Fitness,278,9.8,40.2,7.9,4.0,2,0,Easy,Moderate,No-cook,Yes,Yes,,No
ZITLAS-REC-0310,ZITLAS No-Cook Cornflakes Protein Bowl,Breakfast,Breakfast,Vegetarian,General Fitness,318,11.7,43.2,12.5,2.5,3,0,Easy,Budget,No-cook,Yes,Yes,,No
ZITLAS-REC-0311,ZITLAS No-Cook Peanut Butter Banana Sandwich,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,348,11.3,51.8,12.3,7.5,3,0,Easy,Moderate,No-cook,Yes,Yes,,No
ZITLAS-REC-0312,ZITLAS Microwave Poached Egg Mug,Breakfast,Breakfast,Eggetarian,Muscle Gain,78,6.5,0.6,5.5,0.0,3,2,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0313,ZITLAS Kettle Instant Oats with Milk Powder,Breakfast,Breakfast,Vegetarian,General Fitness,192,6.1,35.3,3.5,4.8,3,4,Easy,Budget,Electric kettle,Yes,No,,No
ZITLAS-REC-0314,ZITLAS No-Cook Greek Yogurt Muesli Cup,Breakfast,Breakfast,Vegetarian,Muscle Gain; Weight Loss,201,18.0,25.2,2.4,2.4,3,0,Easy,Moderate,No-cook,Yes,Yes,,No
ZITLAS-REC-0315,ZITLAS Microwave Savoury Steamed Egg Mug,Breakfast,Breakfast,Eggetarian,Muscle Gain,195,15.0,4.9,13.0,0.2,5,3,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0316,ZITLAS Kettle Vermicelli Upma,Breakfast,Breakfast,Vegan,Weight Loss,225,7.9,32.4,7.8,2.1,5,0,Easy,Budget,Electric kettle,Yes,No,,Yes
ZITLAS-REC-0317,ZITLAS Microwave Rava Idli Mug,Breakfast,Breakfast,Vegetarian,Weight Loss,189,5.2,31.0,4.4,0.9,8,3,Easy,Budget,Microwave,Yes,No,South Indian-inspired,Yes
ZITLAS-REC-0318,ZITLAS No-Cook Cucumber Peanut Salad Cup,Breakfast,Breakfast,Vegan,Weight Loss,151,7.4,10.7,10.1,4.7,5,0,Easy,Budget,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0319,ZITLAS Rice Cooker Vegetable Pulao,Breakfast,Breakfast,Vegan,General Fitness,138,2.3,17.5,6.7,2.1,8,25,Easy,Budget,Rice cooker,Yes,No,,Yes
ZITLAS-REC-0320,ZITLAS No-Cook Banana Oats Smoothie,Breakfast,Breakfast,Vegetarian,General Fitness,273,9.5,45.0,7.6,4.6,5,0,Easy,Budget,Mixer,Yes,Yes,,No
ZITLAS-REC-0321,ZITLAS Microwave Vegetable Poha Mug,Breakfast,Breakfast,Vegan,Weight Loss,218,3.9,40.0,4.7,1.8,5,3,Easy,Budget,Microwave,Yes,No,Maharashtrian-inspired,Yes
ZITLAS-REC-0322,ZITLAS Kettle Sweet Semiya,Breakfast,Breakfast,Vegetarian,General Fitness,145,3.9,31.0,1.0,1.4,5,5,Easy,Budget,Electric kettle,Yes,No,,Yes
ZITLAS-REC-0323,ZITLAS No-Cook Trail Mix Cup,Breakfast,Breakfast,Vegan,General Fitness,243,8.7,17.8,17.4,4.8,3,0,Easy,Moderate,No-cook,Yes,Yes,,No
ZITLAS-REC-0324,ZITLAS Microwave Moong Dal Khichdi Mug,Breakfast,Breakfast,Vegan,General Fitness,170,7.0,24.8,4.7,4.7,120,8,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0325,ZITLAS No-Cook Curd Cornflakes Bowl,Breakfast,Breakfast,Vegetarian,Weight Loss,215,7.2,39.2,4.1,1.2,3,0,Easy,Budget,No-cook,Yes,Yes,,No
ZITLAS-REC-0326,ZITLAS Rice Cooker Egg Fried Rice,Breakfast,Breakfast,Eggetarian,Muscle Gain; General Fitness,321,11.0,40.0,13.1,3.5,5,10,Easy,Budget,Rice cooker,Yes,No,,Yes
ZITLAS-REC-0327,ZITLAS Microwave Sweet Corn Upma Mug,Breakfast,Breakfast,Vegan,Weight Loss,208,5.2,35.9,4.8,1.6,5,4,Easy,Budget,Microwave,Yes,No,,Yes
ZITLAS-REC-0328,ZITLAS Kettle Ragi Malt,Breakfast,Breakfast,Vegan,Weight Loss,126,3.7,24.6,1.4,3.4,5,0,Easy,Budget,Electric kettle,Yes,No,Karnataka-inspired,Yes
ZITLAS-REC-0329,ZITLAS No-Cook Paneer Cube Chaat Bowl,Breakfast,Breakfast,Vegetarian,Muscle Gain; Weight Loss,273,18.2,3.0,20.0,0.3,4,0,Easy,Moderate,No-cook,Yes,Yes,,Yes
