Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0251,ZITLAS Baked Aloo Paratha,Breakfast,Breakfast,Vegan,General Fitness,378,10.3,69.0,7.3,9.6,12,10,Moderate,Budget,Tawa,No,Yes,Punjabi-inspired,No
ZITLAS-REC-0252,ZITLAS Gobi Paratha,Breakfast,Breakfast,Vegan,Weight Loss,329,9.9,53.0,9.4,9.4,12,10,Moderate,Budget,Tawa,No,Yes,Punjabi-inspired,No
ZITLAS-REC-0253,ZITLAS Mooli Paratha,Breakfast,Breakfast,Vegan,Weight Loss,322,9.0,51.7,9.3,9.1,12,10,Moderate,Budget,Tawa,No,Yes,Punjabi-inspired,No
ZITLAS-REC-0254,ZITLAS Thalipeeth,Breakfast,Breakfast,Vegan,General Fitness; Weight Loss,312,10.0,48.8,8.9,7.1,10,10,Moderate,Budget,Tawa,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0255,ZITLAS Sabudana Thalipeeth,Breakfast,Breakfast,Vegetarian,General Fitness,438,6.2,64.8,18.0,2.9,8,10,Moderate,Budget,Tawa,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0256,ZITLAS Misal Pav Bowl,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,349,13.6,52.2,10.2,7.9,10,15,Moderate,Moderate,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0257,ZITLAS Dabeli,Breakfast,Breakfast,Vegan,General Fitness,400,10.8,55.8,15.4,4.9,12,8,Moderate,Budget,Tawa,Yes,Yes,Kutchi-inspired,No
ZITLAS-REC-0258,ZITLAS Baked Moong Dal Kachori,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,671,28.8,111.3,12.5,22.4,25,20,Moderate,Moderate,Oven,No,Yes,Rajasthani-inspired,Yes
ZITLAS-REC-0259,ZITLAS Baked Vegetable Samosa Bites,Breakfast,Breakfast,Vegan,Weight Loss,448,13.2,74.0,11.9,12.8,25,20,Moderate,Budget,Oven,No,Yes,,Yes
ZITLAS-REC-0260,ZITLAS Aloo Kulcha,Breakfast,Breakfast,Vegan,General Fitness,370,9.0,62.7,9.3,3.2,15,12,Moderate,Budget,Tawa,No,Yes,Punjabi-inspired,No
