Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0051,ZITLAS Masala Oats Khichdi,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,301,11.5,43.5,9.2,8.8,8,15,Easy,Budget,Pressure cooker,No,Yes,,No
ZITLAS-REC-0052,ZITLAS Besan Paneer Roll,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,376,20.3,31.9,19.0,5.8,12,10,Moderate,Moderate,Tawa,Yes,Yes,,No
ZITLAS-REC-0053,ZITLAS Egg Curry with Multigrain Roti,Breakfast,Breakfast,Eggetarian,Muscle Gain; General Fitness,453,19.8,47.1,20.9,7.2,10,15,Moderate,Moderate,Kadai; Tawa,No,Yes,,No
ZITLAS-REC-0054,ZITLAS Moong Dal Tikki Sandwich,Breakfast,Breakfast,Vegan,Weight Loss; Muscle Gain,585,29.6,90.2,11.3,20.5,10,10,Moderate,Budget,Tawa,Yes,Yes,,No
ZITLAS-REC-0055,ZITLAS Peanut Curd Dip with Veg Sticks,Breakfast,Breakfast,Vegetarian,Weight Loss,198,10.2,12.9,13.3,3.7,8,0,Easy,Budget,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0056,ZITLAS Soya Frankie Roll,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,493,34.7,68.2,9.5,14.8,12,10,Moderate,Moderate,Tawa,Yes,Yes,Mumbai street-food-inspired,Yes
ZITLAS-REC-0057,ZITLAS Kuttu Pancake with Curd,Breakfast,Breakfast,Vegetarian,General Fitness,307,10.7,46.7,10.7,6.0,8,8,Easy,Moderate,Tawa,No,Yes,,No
ZITLAS-REC-0058,ZITLAS Egg-Coated Paratha,Breakfast,Breakfast,Eggetarian,Muscle Gain; General Fitness,420,20.4,44.9,18.0,7.1,8,8,Easy,Budget,Tawa,Yes,Yes,North Indian street-food-inspired,No
ZITLAS-REC-0059,ZITLAS Sprout Paneer Tikki,Breakfast,Breakfast,Vegetarian,Muscle Gain; Body Transformation,489,28.4,49.6,19.0,13.1,12,10,Moderate,Moderate,Tawa; Mixer,No,Yes,,Yes
ZITLAS-REC-0060,ZITLAS Rajgira Milk Porridge,Breakfast,Breakfast,Vegetarian,General Fitness,313,11.9,49.6,8.8,4.4,5,10,Easy,Moderate,Induction/Gas stove,No,Yes,,No
ZITLAS-REC-0061,ZITLAS Chana Sundal Bowl,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,245,10.9,33.1,8.2,9.4,5,8,Easy,Budget,Kadai,Yes,Yes,South Indian-inspired,No
ZITLAS-REC-0062,ZITLAS Moong Dal Appe,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,441,20.7,67.7,9.2,13.0,15,12,Moderate,Budget,Appe pan,No,Yes,South Indian-inspired,No
ZITLAS-REC-0063,ZITLAS Oats Besan Dhokla,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,445,19.8,63.5,13.7,10.5,15,15,Moderate,Budget,Pressure cooker; Mixer,No,Yes,Gujarati-inspired,No
ZITLAS-REC-0064,ZITLAS Egg Paneer Combo Bhurji,Breakfast,Breakfast,Eggetarian,Muscle Gain; Body Transformation,358,22.6,5.6,27.1,0.9,8,8,Easy,Moderate,Tawa,Yes,Yes,,Yes
ZITLAS-REC-0065,ZITLAS Soya Flour Chilla,Breakfast,Breakfast,Vegan,Muscle Gain; Weight Loss,252,26.6,22.1,6.4,7.1,8,8,Easy,Moderate,Tawa,Yes,Yes,,Yes
ZITLAS-REC-0066,ZITLAS Roasted Chana Ladoo Bites,Breakfast,Breakfast,Vegetarian,General Fitness,656,21.2,94.5,21.2,14.0,15,8,Easy,Budget,Kadai,Yes,Yes,,No
ZITLAS-REC-0067,ZITLAS Curd Oats Bowl with Roasted Seeds,Breakfast,Breakfast,Vegetarian,Weight Loss,261,11.7,28.8,11.9,3.9,8,0,Easy,Moderate,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0068,ZITLAS Methi Paneer Paratha,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,450,18.6,51.0,19.4,8.7,12,10,Moderate,Moderate,Tawa,No,Yes,Punjabi-inspired,No
