Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0401,ZITLAS Zunka Bhakri Bowl,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,476,17.7,76.2,12.1,10.1,10,15,Moderate,Budget,Tawa; Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0402,ZITLAS Pithla Bhakri Bowl,Breakfast,Breakfast,Vegan,Weight Loss,451,17.2,72.6,11.0,9.4,8,12,Easy,Budget,Tawa; Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0403,ZITLAS Tarri Poha,Breakfast,Breakfast,Vegan,Weight Loss,343,8.0,45.7,15.1,3.5,10,12,Moderate,Budget,Kadai,No,Yes,Nagpur-inspired,No
ZITLAS-REC-0404,ZITLAS Amboli,Breakfast,Breakfast,Vegan,Weight Loss,365,9.1,64.8,7.4,5.4,480,10,Moderate,Budget,Tawa; Mixer,No,Yes,Konkan-inspired,No
ZITLAS-REC-0405,ZITLAS Ghavan,Breakfast,Breakfast,Vegan,Weight Loss,317,4.1,50.2,10.8,2.8,10,8,Easy,Budget,Tawa,Yes,Yes,Konkan-inspired,No
ZITLAS-REC-0406,ZITLAS Dhirde,Breakfast,Breakfast,Vegan,Weight Loss,270,8.6,43.2,7.2,4.3,10,8,Easy,Budget,Tawa,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0407,ZITLAS Patal Bhaji Bhakri Bowl,Breakfast,Breakfast,Vegan,Weight Loss,282,7.4,47.6,7.2,5.6,10,15,Moderate,Budget,Tawa; Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0408,ZITLAS Kothimbir Vadi Bowl,Breakfast,Breakfast,Vegan,Weight Loss,292,13.9,35.7,11.6,7.0,15,15,Moderate,Budget,Pressure cooker; Tawa,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0409,ZITLAS Alu Vadi (Patra) Steamed Rolls,Breakfast,Breakfast,Vegan,Weight Loss,314,15.4,40.6,11.2,7.6,25,25,Moderate,Moderate,Pressure cooker,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0410,ZITLAS Rava Sheera Protein Bowl,Breakfast,Breakfast,Vegetarian,General Fitness,327,8.2,46.4,12.3,2.1,5,10,Easy,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0411,ZITLAS Dahi Ambil,Breakfast,Breakfast,Vegetarian,Weight Loss,204,7.9,31.5,5.3,4.6,720,10,Moderate,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0412,ZITLAS Patodi,Breakfast,Breakfast,Vegetarian,Weight Loss,460,24.1,60.8,15.3,11.3,15,15,Moderate,Budget,Pressure cooker,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0413,ZITLAS Solkadhi and Roasted Chana Combo,Breakfast,Breakfast,Vegan,Weight Loss,281,5.0,14.1,24.8,4.6,8,0,Easy,Moderate,No-cook,Yes,Yes,Konkan-inspired,No
ZITLAS-REC-0414,ZITLAS Savoury Steamed Rice Dumplings with Moong Filling,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,554,19.2,99.4,7.8,11.5,25,15,Moderate,Moderate,Pressure cooker,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0415,ZITLAS Farsan-Free Sprouts Misal Bowl,Breakfast,Breakfast,Vegan,Weight Loss; Muscle Gain,207,10.3,28.6,6.7,7.4,10,12,Moderate,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0416,ZITLAS Vangyache Bharit Toast,Breakfast,Breakfast,Vegan,Weight Loss,247,7.1,39.8,7.4,9.0,10,15,Moderate,Budget,Gas stove; Tawa,No,Yes,Maharashtrian-inspired,No
