Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0001,ZITLAS Sattu Power Shot,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,152,8.0,22.8,2.4,4.0,2,0,Easy,Budget,No-cook,Yes,Yes,Bihar-inspired,Yes
ZITLAS-REC-0002,ZITLAS Moong Cheela Paneer Roll,Breakfast,Breakfast,Vegetarian,Muscle Gain; Body Transformation,374,22.1,33.0,16.7,9.0,15,10,Moderate,Moderate,Tawa; Mixer,No,Yes,,No
ZITLAS-REC-0003,ZITLAS Leftover Rice Protein Poha,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,460,17.7,66.2,14.4,10.9,5,8,Easy,Budget,Kadai,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0004,ZITLAS Egg Bhurji Paratha Roll,Breakfast,Breakfast,Eggetarian,Muscle Gain; General Fitness,447,20.8,47.0,20.1,7.6,10,12,Easy,Budget,Tawa,Yes,Yes,,No
ZITLAS-REC-0005,ZITLAS Overnight Chia Peanut Jar,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,410,15.6,48.1,19.3,10.3,5,0,Easy,Moderate,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0006,ZITLAS Kettle Oats with Roasted Chana,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,202,7.9,34.3,3.9,5.9,3,5,Easy,Budget,Electric kettle,Yes,No,,Yes
ZITLAS-REC-0007,ZITLAS Besan Dhokla Bites,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,443,23.8,60.4,13.7,10.8,10,15,Moderate,Budget,Pressure cooker,No,Yes,Gujarati-inspired,No
ZITLAS-REC-0008,ZITLAS No-Cook Sprouted Moong Chaat,Breakfast,Breakfast,Vegan,Weight Loss,364,24.6,62.9,1.3,16.9,5,0,Easy,Budget,No-cook,Yes,Yes,,No
ZITLAS-REC-0009,ZITLAS Bajra Khichdi Bowl,Breakfast,Breakfast,Vegetarian,General Fitness; Weight Loss,519,19.6,81.2,12.6,17.2,10,20,Moderate,Budget,Pressure cooker,No,Yes,Rajasthani-inspired,No
ZITLAS-REC-0010,ZITLAS Curd Rice with Roasted Peanuts,Breakfast,Breakfast,Vegetarian,Weight Loss,336,11.1,38.1,16.5,3.4,5,3,Easy,Budget,Kadai,Yes,Yes,South Indian-inspired,No
ZITLAS-REC-0011,ZITLAS Soya Keema Paratha,Breakfast,Breakfast,Vegetarian,Muscle Gain; Body Transformation,497,34.9,69.0,9.5,15.1,15,12,Moderate,Moderate,Tawa,No,Yes,Punjabi-inspired,Yes
ZITLAS-REC-0012,ZITLAS Peanut Banana Oats Smoothie Bowl,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,378,13.8,52.7,14.7,6.9,5,0,Easy,Moderate,Mixer,Yes,Yes,,No
ZITLAS-REC-0013,ZITLAS Egg White Veggie Wrap,Breakfast,Breakfast,Eggetarian,Weight Loss; Body Transformation,283,19.9,39.1,5.2,6.5,8,8,Easy,Moderate,Tawa,Yes,Yes,,No
ZITLAS-REC-0014,ZITLAS Rajma Paratha (Leftover Rescue),Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,444,17.3,73.6,9.7,14.6,10,10,Moderate,Budget,Tawa,No,Yes,Punjabi-inspired,No
ZITLAS-REC-0015,ZITLAS Ragi Dosa with Tomato Chutney,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,465,10.2,84.5,11.3,13.0,10,10,Moderate,Budget,Tawa; Mixer,No,Yes,South Indian-inspired,No
ZITLAS-REC-0016,ZITLAS Sattu Paratha,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,507,18.6,79.3,12.2,13.2,12,10,Moderate,Budget,Tawa,No,Yes,Bihar-inspired,No
ZITLAS-REC-0017,ZITLAS Makhana Yogurt Parfait,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,158,16.9,20.6,0.6,2.8,5,0,Easy,Moderate,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0018,ZITLAS Vegetable Dalia Upma,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,448,13.8,79.7,9.7,12.5,10,15,Easy,Budget,Pressure cooker,No,Yes,,No
ZITLAS-REC-0019,ZITLAS Boiled Egg Sprouts Bowl,Breakfast,Breakfast; Post-Workout,Eggetarian,Muscle Gain; Body Transformation,441,32.4,50.1,12.0,13.1,5,0,Easy,Budget,No-cook,Yes,Yes,,No
ZITLAS-REC-0020,ZITLAS Besan Savoury Toast,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,317,12.2,48.1,8.9,7.7,5,6,Easy,Budget,Tawa,Yes,Yes,,No
ZITLAS-REC-0021,ZITLAS Thecha Peanut Sandwich,Breakfast,Breakfast,Vegan,Weight Loss; General Fitness,317,10.6,32.6,16.9,5.9,8,5,Easy,Budget,Tawa; Mixer,Yes,Yes,Maharashtrian-inspired,Yes
ZITLAS-REC-0022,ZITLAS Protein-Boosted Idli Sambar,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,993,67.7,162.3,10.2,48.4,15,15,Moderate,Budget,Pressure cooker,No,Yes,South Indian-inspired,Yes
ZITLAS-REC-0023,ZITLAS Paneer Roti Roll (Lunchbox),Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,440,17.4,46.5,20.0,6.7,8,5,Easy,Moderate,Tawa,Yes,Yes,,No
