Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0521,ZITLAS Bhagar Upma-Style Bowl,Breakfast,Breakfast,Vegan,Weight Loss,335,10.7,43.6,13.9,2.9,10,15,Easy,Moderate,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0522,ZITLAS Bhopla Ghavan,Breakfast,Breakfast,Vegan,Weight Loss,204,2.9,35.2,5.6,1.2,10,8,Easy,Budget,Tawa,Yes,Yes,Konkan-inspired,No
ZITLAS-REC-0523,ZITLAS Nashik Grape and Curd Bowl,Breakfast,Breakfast,Vegetarian,Weight Loss,141,4.9,23.6,4.2,0.9,5,0,Easy,Moderate,No-cook,Yes,Yes,Nashik-inspired,No
ZITLAS-REC-0524,ZITLAS Karvand Chutney Toast,Breakfast,Breakfast,Vegan,Weight Loss,197,5.8,38.9,2.2,5.8,10,0,Easy,Moderate,Mixer,Yes,Yes,Konkan-inspired,No
ZITLAS-REC-0525,ZITLAS Wadi Bhaji Breakfast Bowl,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,239,12.3,32.2,6.6,8.5,15,15,Moderate,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0526,ZITLAS Leftover Bhakri Crumble Upma,Breakfast,Breakfast,Vegan,Weight Loss,499,14.6,77.7,15.1,8.5,5,8,Easy,Budget,Kadai,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0527,ZITLAS Kothimbir Bhaat Breakfast Bowl,Breakfast,Breakfast,Vegan,General Fitness,210,5.4,17.4,13.9,2.4,10,18,Easy,Budget,Pressure cooker; Mixer,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0528,ZITLAS Jambhul Curd Bowl,Breakfast,Breakfast,Vegetarian,Weight Loss,132,4.9,21.2,4.2,0.6,6,0,Easy,Moderate,No-cook,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0529,ZITLAS Ratnagiri Mango Paneer Bowl,Breakfast,Breakfast,Vegetarian,Muscle Gain,219,11.6,15.7,12.4,1.6,8,0,Easy,Premium,No-cook,No,Yes,Ratnagiri-inspired,No
ZITLAS-REC-0530,ZITLAS Bhoplyachi Bhaji with Bhakri Breakfast,Breakfast,Breakfast,Vegan,Weight Loss,379,11.3,53.8,14.5,5.9,10,15,Easy,Budget,Tawa; Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0531,ZITLAS Chutney Sandwich Maharashtra-Style,Breakfast,Breakfast,Vegan,Weight Loss,352,13.3,47.3,13.0,8.0,10,0,Easy,Budget,Mixer,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0532,ZITLAS Roasted Bhagar Porridge Bowl,Breakfast,Breakfast,Vegetarian,General Fitness,287,11.1,48.1,6.4,2.1,5,15,Easy,Moderate,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0533,ZITLAS Suran Bhaji Bowl,Lunch,Lunch,Vegan,General Fitness,227,2.3,39.0,7.3,5.8,12,18,Moderate,Moderate,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0534,ZITLAS Shevga Shenga Curry,Lunch,Lunch,Vegan,General Fitness,253,8.9,15.0,19.5,5.8,12,18,Moderate,Moderate,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0535,ZITLAS Kartoli Sabzi Bowl,Lunch,Lunch,Vegan,Weight Loss,83,1.5,6.7,6.3,3.5,10,12,Easy,Premium,Kadai,No,Yes,Konkan-inspired,No
ZITLAS-REC-0536,ZITLAS Phanas Bhaji Bowl,Lunch,Lunch,Vegan,General Fitness,197,2.5,33.0,7.4,2.5,15,20,Moderate,Moderate,Kadai,No,Yes,Konkan-inspired,No
ZITLAS-REC-0537,ZITLAS Ambadi Bhaji Bowl,Lunch,Lunch,Vegan,Weight Loss,196,8.2,7.1,16.1,3.7,10,12,Easy,Budget,Kadai,No,Yes,Vidarbha-inspired,No
ZITLAS-REC-0538,ZITLAS Papad Bhaji Bowl,Lunch,Lunch,Vegan,Weight Loss,217,9.4,27.7,8.4,5.2,8,12,Easy,Budget,Kadai,No,Yes,Marathwada-inspired,No
ZITLAS-REC-0539,ZITLAS Marathwada Dry Ambti Bowl,Lunch,Lunch,Vegan,Weight Loss,216,10.4,28.4,6.7,7.3,10,18,Moderate,Budget,Pressure cooker; Kadai,No,Yes,Marathwada-inspired,No
ZITLAS-REC-0540,ZITLAS Dodka Bhaji Bowl,Lunch,Lunch,Vegan,Weight Loss,89,1.8,8.0,6.3,1.9,10,12,Easy,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0541,ZITLAS Marathwada Dal Dhokli,Lunch,Lunch,Vegan,Muscle Gain; General Fitness,400,16.1,64.8,8.6,12.7,15,20,Moderate,Budget,Pressure cooker; Kadai,No,Yes,Marathwada-inspired,No
ZITLAS-REC-0542,ZITLAS Vidarbha Chana Ghugni Bowl,Lunch,Lunch,Vegan,Weight Loss; Muscle Gain,287,11.9,37.8,10.4,10.4,10,15,Moderate,Budget,Kadai,No,Yes,Vidarbha-inspired,No
ZITLAS-REC-0543,ZITLAS Kanda Chutney Roti Roll,Lunch,Lunch,Vegan,Weight Loss,408,13.1,58.6,14.6,10.5,10,5,Easy,Budget,Tawa; Mixer,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0544,ZITLAS Marathwada Ras Bhaji Combo,Lunch,Lunch,Vegan,General Fitness,209,6.7,8.2,18.0,3.7,15,20,Moderate,Budget,Kadai,No,Yes,Marathwada-inspired,No
